,Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level,Month
391,8767,74.0,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,8.866341463414633,15.0,37.0,14.952682926829269,6.90390243902439,1012.0,66.0390243902439,74.0,5.628780487804878,31.0,1.5,2021-02-17 12:00:00,+07:00,Moderate,2,2
392,8688,64.0,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,pm25,8.866341463414633,10.0,49.0,14.952682926829269,6.90390243902439,1022.0,66.0390243902439,107.60487804878049,5.628780487804878,21.0,3.6,2021-02-17 12:00:00,+07:00,Moderate,2,2
393,8641,76.0,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.1,10.0,49.0,7.4,7.8,1021.5,66.0390243902439,76.0,4.1,21.0,3.6,2021-02-17 12:00:00,+07:00,Moderate,2,2
394,13012,37.0,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,1.0,11.4,46.0,3.0,37.0,928.7,27.0,37.0,1.0,23.7,3.0,2021-02-17 12:00:00,+07:00,Good,1,2
395,12488,41.0,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,pm10,1.0,18.5,65.0,14.952682926829269,6.90390243902439,1018.5,41.0,26.0,5.628780487804878,25.5,2.8,2021-02-17 13:00:00,+07:00,Good,1,2
396,13251,83.0,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,4.0,12.5,62.0,17.0,1.0,1021.5,66.0,83.0,2.0,20.0,4.1,2021-02-17 09:00:00,+07:00,Moderate,2,2
397,12976,36.0,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,2.0,10.0,49.0,7.0,24.0,1022.0,34.0,36.0,3.0,21.0,3.6,2021-02-17 12:00:00,+07:00,Good,1,2
399,5507,41.0,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,pm25,8.866341463414633,18.1,85.1,14.952682926829269,30.0,1008.0,25.0,41.0,5.628780487804878,20.7,2.0,2021-02-17 12:00:00,+07:00,Good,1,2
401,12958,41.0,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,3.0,10.0,49.0,2.0,23.0,1022.0,27.0,41.0,5.0,21.0,3.6,2021-02-17 12:00:00,+07:00,Good,1,2
402,12957,110.80975609756098,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,4.0,10.0,49.0,3.0,6.90390243902439,1022.0,66.0390243902439,107.60487804878049,2.0,21.0,3.6,2021-02-17 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
403,13015,87.0,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,23.0,12.5,62.0,29.0,6.90390243902439,1021.5,68.0,87.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Moderate,2,2
404,13018,49.0,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,5.0,12.5,62.0,9.0,6.90390243902439,1021.5,28.0,49.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Good,1,2
405,13019,45.0,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,8.0,12.5,62.0,31.0,6.90390243902439,1021.5,33.0,45.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Good,1,2
406,13026,78.0,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,6.0,12.5,62.0,20.0,2.0,1021.5,49.0,78.0,1.0,20.0,4.1,2021-02-17 09:00:00,+07:00,Moderate,2,2
407,1584,110.80975609756098,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,1.0,17.5,57.0,1.0,33.0,1017.5,66.0390243902439,107.60487804878049,6.0,26.5,2.5,2021-02-17 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
408,1585,110.80975609756098,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,pm25,2.0,17.0,48.0,2.0,33.0,1016.0,66.0390243902439,107.60487804878049,4.0,29.0,8.7,2021-02-17 12:00:00,+07:00,Unhealthy for Sensitive Group,3,2
409,13017,83.0,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,14.0,12.5,62.0,17.0,6.90390243902439,1021.5,66.0,83.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Moderate,2,2
410,13020,44.0,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,6.0,12.5,62.0,8.0,6.90390243902439,1021.5,28.0,44.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Good,1,2
411,13013,81.0,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,16.0,12.5,62.0,23.0,6.90390243902439,1021.5,65.0,81.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Moderate,2,2
412,13014,49.0,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,8.0,12.5,62.0,14.952682926829269,6.90390243902439,1021.5,31.0,49.0,5.628780487804878,20.0,4.1,2021-02-17 09:00:00,+07:00,Good,1,2
413,13252,51.0,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,8.866341463414633,8.9,51.3,14.952682926829269,4.0,994.3,51.0,36.0,5.628780487804878,19.2,5.0,2021-02-17 13:00:00,+07:00,Moderate,2,2
414,8767,93.0,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,8.866341463414633,16.5,42.5,14.952682926829269,6.90390243902439,1013.0,66.0390243902439,93.0,5.628780487804878,30.5,1.0,2021-02-18 13:00:00,+07:00,Moderate,2,2
415,8688,92.0,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,pm25,8.866341463414633,12.0,53.0,14.952682926829269,6.90390243902439,1024.0,66.0390243902439,107.60487804878049,5.628780487804878,22.0,2.0,2021-02-18 13:00:00,+07:00,Moderate,2,2
416,8641,154.0,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.1,12.0,53.0,4.6,10.2,1023.5,66.0390243902439,154.0,6.1,22.0,2.3,2021-02-18 13:00:00,+07:00,Unhealthy,4,2
